id,source_id,source_name,title,content,published_at
99,reuters,Reuters,'No deal' Brexit would cost at least $16 billion in UK exports losses: U.N.,GENEVA (Reuters) - Leaving the European Union without a trade deal would cost Britain at least $16 billion in lost exports  and would probably cost far more after indirect effects are taken into account  a report by the U.N. trade agency UNCTAD said on Tuesda… [+401 chars],2019-09-03T15:25:15Z
103,the-irish-times,The Irish Times,Beach near Dublin’s wastewater plant blanketed in noxious material,Foul smelling organic material on a beach next to Dublins wastewater treatments works is rotting seaweed and not sewage  according to Dublin City Council.  An inspection carried out on the Shelly Banks near Poolbeg on Tuesday morning found no evidence of a se… [+3211 chars],2019-09-03T18:16:50Z
107,abc-news,ABC News,Manchin decides against running for West Virginia governor  will stay in Senate,Democratic Sen. Joe Manchin announced on Tuesday that he has decided against running for governor of West Virginia and instead will stay in the U.S. Senate.  Manchin  who served as the state's governor before running for the Senate  described it  the best job… [+1823 chars],2019-09-03T14:51:47Z
111,the-new-york-times,The New York Times,Bodies of 20 Victims Recovered in California Boat Fire,Even as divers continued to look for the bodies of the missing  investigators were trying to determine the cause of the fire on the boat  which the Coast Guard said Monday had been in compliance with safety regulations.  Among the victims were reportedly at l… [+1718 chars],2019-09-03T17:46:12Z
115,newsweek,Newsweek,Melvin Gordon Holdout: Will Los Angeles Chargers Star Play This Year?,For the second consecutive year  running backs have dominated the headlines during the offseason.  A year ago it was Le'Veon Bell refusing to play for the Pittsburgh Steelers after being franchise-tagged for the second consecutive season  this year it's Ezeki… [+2967 chars],2019-09-03T16:07:00Z
119,the-irish-times,The Irish Times,Booker Prize 2019: Margaret Atwood and Salman Rushdie on strong shortlist,Former winners Margaret Atwood  who turns 80 in November  and Salman Rushdie  72  are the biggest names on the 2019 Booker Prize shortlist  announced this morning. The Testaments  her sequel to The Handmaids Tale  is not published until next Tuesday but is al… [+445 chars],2019-09-03T08:11:29Z
123,abc-news,ABC News,UAW workers vote to authorize strikes against Detroit 3,More than 96% of United Auto Workers union members have voted to authorize strikes against Detroit's three automakers.  The union said Monday the vote means leadership is authorized to call strikes against General Motors  Ford and Fiat Chrysler. But it doesn'… [+474 chars],2019-09-03T13:03:56Z
127,newsweek,Newsweek,BTS Fans Create Forest in Seoul to Celebrate RM's Birthday,Dedicated fans of South Korean pop group BTS have united to create a forest dedicated to the band's leader RM to mark his 25th birthday.  Around 250 fans gathered at Seoul's Han River Park to to plant 1 250 trees Saturday  according to the Korean Federation f… [+2314 chars],2019-09-03T10:32:21Z
131,abc-news,ABC News,Texas Popeye's ran out of chicken sandwiches  man pulls gun,Police say a man pulled a gun at a Popeyes restaurant in Houston after being told they were out of chicken sandwiches.  Houston police Lt. Larry Crowson says officers were called to the restaurant Monday night after a group of people tried to order a chicken … [+502 chars],2019-09-03T13:24:19Z
135,the-new-york-times,The New York Times,Will Trumpism Take Deeper Root in New Hampshire?,WINDHAM  N.H. As he called into Joe Piscopos radio show from a diner last week  and then trash-talked both political parties over a bacon-and-egg-white omelet  Corey Lewandowski demonstrated why hed be a fitting Republican Senate nominee on the 2020 ticket wi… [+1739 chars],2019-09-03T09:59:30Z
